fecha_insc,cantidad
2018-06-23,1
2018-07-06,1
2021-06-30,1
2021-07-14,1
2024-10-01,101
2024-10-02,46
2024-10-03,202
2024-10-04,64
2024-10-07,176
2024-10-08,153
2024-10-09,243
2024-10-10,33
2024-10-14,95
2024-10-15,255
2024-10-16,75
2024-10-17,124
2024-10-18,72
2024-10-19,22
2024-10-21,115
2024-10-22,66
2024-10-23,96
2024-10-24,101
2024-10-25,54
2024-10-26,4
2024-10-28,238
2024-10-29,164
2024-10-30,181
2024-10-31,275
2024-11-01,85
2024-11-02,38
2024-11-04,136
2024-11-05,117
2024-11-06,58
2024-11-07,40
2024-11-08,76
2024-11-11,56
2024-11-12,26
2024-11-13,13
2024-11-14,30
2024-11-15,7
2024-11-19,5
2024-11-20,6
2024-11-21,14
2024-11-22,8
2024-11-23,3
2024-11-25,4
2024-11-26,4
2024-11-27,11
2024-11-28,16
2024-11-29,13
2024-12-02,11
2024-12-03,7
2024-12-04,4
2024-12-05,5
2024-12-06,1
2024-12-09,4
2024-12-10,2
2024-12-12,4
2024-12-13,3
2024-12-16,5
2024-12-17,6
2024-12-19,2
2024-12-20,3
2024-12-26,4
2024-12-27,2
2025-02-03,2
2025-02-04,2
2025-02-05,7
2025-02-06,48
2025-02-07,52
2025-02-10,40
2025-02-11,64
2025-02-12,92
2025-02-13,102
2025-02-14,15
2025-02-17,6
2025-02-18,28
2025-02-19,7
2025-02-20,8
2025-02-21,63
2025-02-24,4
2025-02-25,1
2025-02-26,2
2025-02-27,2
2025-02-28,2
2025-03-05,3
2025-03-06,2
2025-03-07,4
2025-03-10,1
2025-03-11,4
2025-03-12,1
2025-03-13,39
2025-03-14,19
2025-03-17,1
2025-03-18,2
2025-03-20,2
2025-03-25,2
2025-03-26,2
2025-03-27,1
2025-03-28,1
2025-03-31,1
2025-04-01,2
2025-04-08,1
2025-04-23,1
2025-04-24,1
2025-04-28,1
2025-05-05,1
2025-05-12,4
2025-05-13,1
2025-05-14,1
2025-05-16,1
2025-05-21,1
2025-05-23,1
2025-05-27,2
2025-05-29,2
2025-06-03,2
2025-06-05,1
2025-06-17,1
2025-06-19,1
2025-06-26,4
2025-06-27,48
2025-06-28,179
2025-06-29,22
2025-07-04,8
2025-07-07,198
2025-07-08,102
2025-07-10,2
2025-07-11,49
2025-07-14,8
2025-07-15,2
2025-07-16,1
2025-07-17,4
2025-07-18,5
2025-07-21,10
2025-07-22,18
2025-07-23,3
2025-07-24,5
2025-07-25,4
2025-07-28,11
2025-07-29,11
2025-07-30,1
2025-07-31,5
2025-08-01,1
2025-08-04,3
2025-08-06,2
2025-08-07,1
2025-08-08,1
2025-08-11,1
2025-08-12,3
2025-08-13,2
2025-08-18,1
2025-08-19,2
2025-08-29,1
2025-09-03,2
2025-09-15,2
2025-09-22,1
2025-09-24,1
2025-09-25,2
2025-09-29,1
